signature,namepko,date3,date2,country,year,mandate_renewal,mandate_completeadjustment,disarmdemob_monitor_V3,disarmdemob_assist_V3,disarmdemob_encouraged_V3,disarmdemob_security_V3,reintegration_monitor_V3,reintegration_assist_V3,reintegration_security_V3,reintegration_encouraged_V3,controlsalw_monitor_V3,controlsalw_assist_V3,controlsalw_encouraged_V3,controlsalw_security_V3,armsembargo_monitor_V3,armsembargo_assist_V3,armsembargo_encouraged_V3,armsembargo_security_V3,civprotect_monitor_V3,civprotect_assist_V3,civprotect_security_V3,civprotect_encouraged_V3,humanrights_monitor_V3,humanrights_assist_V3,humanrights_encouraged_V3,humanrights_security_V3,childrights_monitor_V3,childrights_assist_V3,childrights_encouraged_V3,childrights_security_V3,sgbviolence_monitor_V3,sgbviolence_assist_V3,sgbviolence_encouraged_V3,sgbviolence_security_V3,policereform_monitor_V3,policereform_assist_V3,policereform_encouraged_V3,policereform_security_V3,militaryreform_monitor_V3,militaryreform_assist_V3,militaryreform_encouraged_V3,militaryreform_security_V3,demil_monitor_V3,demil_assist_V3,demil_security_V3,demil_encouraged_V3,offensoper_assist_V3,offensoper_security_V3,offensoper_monitor_V3,offensoper_encouraged_V3,justicereform_monitor_V3,justicereform_assist_V3,justicereform_encouraged_V3,justicereform_security_V3,transjustice_monitor_V3,transjustice_assist_V3,transjustice_encouraged_V3,transjustice_security_V3,correctionsreform_monitor_V3,correctionsreform_assist_V3,correctionsreform_encouraged_V3,correctionsreform_security_V3,bordercontrol_monitor_V3,bordercontrol_assist_V3,bordercontrol_encouraged_V3,bordercontrol_security_V3,demining_monitor_V3,demining_assist_V3,demining_encouraged_V3,demining_security_V3,resources_monitor_V3,resources_assist_V3,resources_security_V3,resources_encouraged_V3,stateauthority_monitor_V3,stateauthority_assist_V3,stateauthority_encouraged_V3,stateauthority_security_V3,democratization_monitor_V3,democratization_assist_V3,democratization_encouraged_V3,democratization_security_V3,electsec_monitor_V3,electsec_assist_V3,electsec_encouraged_V3,electassist_monitor_V3,electassist_assist_V3,electassist_encouraged_V3,electassist_security_V3,votereducation_monitor_V3,votereducation_assist_V3,votereducation_security_V3,votereducation_encouraged_V3,polpartyassist_monitor_V3,polpartyassist_assist_V3,polpartyassist_encouraged_V3,polpartyassist_security_V3,civilsociety_monitor_V3,civilsociety_assist_V3,civilsociety_security_V3,civilsociety_encouraged_V3,media_monitor_V3,media_assist_V3,media_encouraged_V3,media_security_V3,publicinfo_assist_V3,publicinfo_encouraged_V3,publicinfo_monitor_V3,publicinfo_security_V3,powersharing_monitor_V3,powersharing_assist_V3,powersharing_encouraged_V3,powersharing_security_V3,reconcil_monitor_V3,reconcil_assist_V3,reconcil_encouraged_V3,reconcil_security_V3,localreconcil_monitor_V3,localreconcil_assist_V3,localreconcil_encouraged_V3,localreconcil_security_V3,regreconcil_monitor_V3,regreconcil_assist_V3,regreconcil_encouraged_V3,regreconcil_security_V3,ecdevelop_monitor_V3,ecdevelop_assist_V3,ecdevelop_encouraged_V3,ecdevelop_security_V3,humanrelief_monitor_V3,humanrelief_assist_V3,humanrelief_encouraged_V3,humanrelief_security_V3,publichealth_monitor_V3,publichealth_assist_V3,publichealth_encouraged_V3,publichealth_security_V3,refugeeidps_monitor_V3,refugeeidps_assist_V3,refugeeidps_encouraged_V3,refugeeidps_security_V3,gender_monitor_V3,gender_assist_V3,gender_encouraged_V3,gender_security_V3,legalreform_monitor_V3,legalreform_assist_V3,legalreform_encouraged_V3,legalreform_security_V3,ceasefire_monitor_V3,ceasefire_assist_V3,ceasefire_encouraged_V3,ceasefire_security_V3,peaceprocess_monitor_V3,peaceprocess_assist_V3,peaceprocess_encouraged_V3,peaceprocess_security_V3,culturalheritage_assist_V3,culturalheritage_security_V3,culturalheritage_monitor_V3,culturalheritage_encouraged_V3,useofforce_V3
S/RES/1479,MINUCI,2003m5,13-May-03,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1479,MINUCI,2003m6,,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1479,MINUCI,2003m7,,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1479,MINUCI,2003m8,,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1479,MINUCI,2003m9,,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1479,MINUCI,2003m10,,Ivory Coast,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1514,MINUCI,2003m11,13-Nov-03,Ivory Coast,2003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1514,MINUCI,2003m12,,Ivory Coast,2003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1514,MINUCI,2004m1,,Ivory Coast,2004,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S/RES/1527,MINUCI,2004m2,04-Feb-04,Ivory Coast,2004,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
