Signature,NamePKO,Country,Year,Date2,Mandate_Renewal,Mandate_CompleteAdjustment,DisarmDemob_Monitor,DisarmDemob_Assist,DisarmDemob_Encouraged,DisarmDemob_Security,Reintegration_Monitor,Reintegration_Assist,Reintegration_Security,Reintegration_Encouraged,ControlSALW_Monitor,ControlSALW_Assist,ControlSALW_Encouraged,ControlSALW_Security,ArmsEmbargo_Monitor,ArmsEmbargo_Assist,ArmsEmbargo_Encouraged,ArmsEmbargo_Security,CivProtect_Monitor,CivProtect_Assist,CivProtect_Security,CivProtect_Encouraged,HumanRights_Monitor,HumanRights_Assist,HumanRights_Encouraged,HumanRights_Security,ChildRights_Monitor,ChildRights_Assist,ChildRights_Encouraged,ChildRights_Security,SGBViolence_Monitor,SGBViolence_Assist,SGBViolence_Encouraged,SGBViolence_Security,PoliceReform_Monitor,PoliceReform_Assist,PoliceReform_Encouraged,PoliceReform_Security,MilitaryReform_Monitor,MilitaryReform_Assist,MilitaryReform_Encouraged,MilitaryReform_Security,Demil_Monitor,Demil_Assist,Demil_Security,Demil_Encouraged,OffensOper_Assist,OffensOper_Security,OffensOper_Monitor,OffensOper_Encouraged,JusticeReform_Monitor,JusticeReform_Assist,JusticeReform_Encouraged,JusticeReform_Security,TransJustice_Monitor,TransJustice_Assist,TransJustice_Encouraged,TransJustice_Security,CorrectionsReform_Monitor,CorrectionsReform_Assist,CorrectionsReform_Encouraged,CorrectionsReform_Security,BorderControl_Monitor,BorderControl_Assist,BorderControl_Encouraged,BorderControl_Security,Demining_Monitor,Demining_Assist,Demining_Encouraged,Demining_Security,Resources_Monitor,Resources_Assist,Resources_Security,Resources_Encouraged,StateAuthority_Monitor,StateAuthority_Assist,StateAuthority_Encouraged,StateAuthority_Security,Democratization_Monitor,Democratization_Assist,Democratization_Encouraged,Democratization_Security,ElectSec_Monitor,ElectSec_Assist,ElectSec_Encouraged,ElectAssist_Monitor,ElectAssist_Assist,ElectAssist_Encouraged,ElectAssist_Security,VoterEducation_Monitor,VoterEducation_Assist,VoterEducation_Security,VoterEducation_Encouraged,PolPartyAssist_Monitor,PolPartyAssist_Assist,PolPartyAssist_Encouraged,PolPartyAssist_Security,CivilSociety_Monitor,CivilSociety_Assist,CivilSociety_Security,CivilSociety_Encouraged,Media_Monitor,Media_Assist,Media_Encouraged,Media_Security,PublicInfo_Assist,PublicInfo_Encouraged,PublicInfo_Monitor,PublicInfo_Security,PowerSharing_Monitor,PowerSharing_Assist,PowerSharing_Encouraged,PowerSharing_Security,Reconcil_Monitor,Reconcil_Assist,Reconcil_Encouraged,Reconcil_Security,LocalReconcil_Monitor,LocalReconcil_Assist,LocalReconcil_Encouraged,LocalReconcil_Security,RegReconcil_Monitor,RegReconcil_Assist,RegReconcil_Encouraged,RegReconcil_Security,EcDevelop_Monitor,EcDevelop_Assist,EcDevelop_Encouraged,EcDevelop_Security,HumanRelief_Monitor,HumanRelief_Assist,HumanRelief_Encouraged,HumanRelief_Security,PublicHealth_Monitor,PublicHealth_Assist,PublicHealth_Encouraged,PublicHealth_Security,RefugeeIDPs_Monitor,RefugeeIDPs_Assist,RefugeeIDPs_Encouraged,RefugeeIDPs_Security,Gender_Monitor,Gender_Assist,Gender_Encouraged,Gender_Security,LegalReform_Monitor,LegalReform_Assist,LegalReform_Encouraged,LegalReform_Security,Ceasefire_Monitor,Ceasefire_Assist,Ceasefire_Encouraged,Ceasefire_Security,PeaceProcess_Monitor,PeaceProcess_Assist,PeaceProcess_Encouraged,PeaceProcess_Security,CulturalHeritage_Assist,CulturalHeritage_Security,CulturalHeritage_Monitor,CulturalHeritage_Encouraged,UseOfForce,Comments
S/RES/743,UNPROFOR,Bosnia and Herzegovina,1992,21-Feb-92,0,0,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,17 c,17 b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/758,UNPROFOR,Bosnia and Herzegovina,1992,08-Jun-92,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/24075
S/RES/758 AND S/RES/761,UNPROFOR,Bosnia and Herzegovina,1992,08-Jun-92,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/761,UNPROFOR,Bosnia and Herzegovina,1992,29-Jun-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/24075
S/RES/762,UNPROFOR,Bosnia and Herzegovina,1992,30-Jun-92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 d,,,,,,,,16 b,"16 b, 16 c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/RES/764,UNPROFOR,Bosnia and Herzegovina,1992,13-Jul-92,1,0,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/24263
S/RES/769,UNPROFOR,Bosnia and Herzegovina,1992,07-Aug-92,0,1,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,S/24353
S/RES/776 ,UNPROFOR,Bosnia and Herzegovina,1992,14-Sep-92,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,S/24540
S/RES/779 ,UNPROFOR,Bosnia and Herzegovina,1992,06-Oct-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/24600
S/RES/781,UNPROFOR,Bosnia and Herzegovina,1992,09-Oct-92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
